transcript,url
"You shout it out, but
I can't hear a word you say
I'm talking loud, not saying much
You shout it out, but
I can't hear a word you say
I'm talking loud, not saying much
I'm criticized, but all your bullets ricochet
Shoot me down, but I get up
I'm bulletproof, nothing to lose
Fire away, fire away
Ricochet, you take your aim
Fire away, fire away
You shoot me down, but I won't fall
I am titanium
You shoot me down, but I won't fall
I am titanium
Cut me down, but it's you
Who'll have further to fall
Ghost town and haunted love
Raise your voice, sticks and
Stones may break my bones
I'm talking loud, not saying much
I'm bulletproof, nothing to lose
Fire away, fire away
Ricochet, you take your aim
Fire away, fire away
You shoot me down, but I won't fall
I am titanium
You shoot me down, but I won't fall
I am titanium",https://www.youtube.com/embed/JRfuAukYTKg
"Lately, I've been, I've been losing sleep
Dreaming about the things that we could be
But baby, I've been, I've been praying hard
Said no more counting dollars
We'll be counting stars
Yeah, we'll be counting stars
I see this life, like a swinging vine
Swing my heart across the line
And in my face is flashing signs
Seek it out and ye shall find
Old, but I'm not that old
Young, but I'm not that bold
And I don't think the world is sold
On just doing what we're told
I feel something so right
Doing the wrong thing
And I feel something so wrong
Doing the right thing
I couldn't lie, couldn't lie, couldn't lie
Everything that kills me makes me feel alive
Lately, I've been, I've been losing sleep
Dreaming about the things that we could be
But baby, I've been, I've been praying hard
Said no more counting dollars
We'll be counting stars
Lately, I've been, I've been losing sleep
Dreaming about the things we could be
But baby, I've been, I've been praying hard
Said no more counting dollars
We'll be, we'll be counting stars
Yeah
I feel your love and I feel it burn
Down this river, every turn
Hope is our four-letter word
Make that money, watch it burn
Old, but I'm not that old
Young, but I'm not that bold
And I don't think the world is sold
On just doing what we're told
And I feel something so wrong
Doing the right thing
I couldn't lie, couldn't lie, couldn't lie
Everything that drowns me makes me wanna fly
Lately, I've been, I've been losing sleep
Dreaming about the things that we could be
But baby, I've been, I've been praying hard
Said no more counting dollars
We'll be counting stars
Lately, I've been, I've been losing sleep
Dreaming about the things that we could be
But baby, I've been, I've been praying hard
Said no more counting dollars
We'll be, we'll be counting stars
Oh, take that money, watch it burn
Sink in the river the lessons I've learned
Take that money, watch it burn
Sink in the river the lessons I've learned
Take that money, watch it burn
Sink in the river the lessons I've learned
Take that money, watch it burn
Sink in the river the lessons I've learned
Everything that kills me
Makes me feel alive
Lately, I've been, I've been losing sleep
Dreaming about the things that we could be
But baby, I've been, I've been praying hard
Said no more counting dollars
We'll be counting stars
Lately, I've been, I've been losing sleep
Dreaming about the things that we could be
But baby, I've been, I've been praying hard
Said no more counting dollars
We'll be, we'll be counting stars
Take that money, watch it burn
Sink in the river the lessons I've learned
Take that money, watch it burn
Sink in the river the lessons I've learned
Take that money, watch it burn
Sink in the river the lessons I've learned
Take that money, watch it burn
Sink in the river the lessons I've learned",https://www.youtube.com/embed/hT_nvWreIhg
"It's been a long day without you, my friend
And I'll tell you all about it when I see you again
We've come a long way from where we began
Oh, I'll tell you all about it when I see you again
When I see you again
Damn, who knew?
All the planes we flew, good things we been through
That I'd be standing right here talking to you
'Bout another path, I know we loved to hit the road and laugh
But something told me that it wouldn't last
Had to switch up, look at things different, see the bigger picture
Those were the days, hard work forever pays
Now I see you in a better place (see you in a better place)
Uh
How can we not talk about family when family's all that we got?
Everything I went through, you were standing there by my side
And now you gon' be with me for the last ride
It's been a long day without you, my friend
And I'll tell you all about it when I see you again (I'll see you again)
We've come a long way (yeah, we came a long way)
From where we began (you know we started)
Oh, I'll tell you all about it when I see you again (I'll tell you)
When I see you again
First, you both go out your way and the vibe is feeling strong
And what's small turned to a friendship, a friendship turned to a bond
And that bond will never be broken, the love will never get lost
(The love will never get lost)
And when brotherhood come first, then the line will never be crossed
Established it on our own when that line had to be drawn
And that line is what we reached, so remember me when I'm gone
(Remember me when I'm gone)
How can we not talk about family when family's all that we got?
Everything I went through you were standing there by my side
And now you gon' be with me for the last ride
So let the light guide your way, yeah
Hold every memory as you go
And every road you take
Will always lead you home, home
It's been a long day without you, my friend
And I'll tell you all about it when I see you again
We've come a long way from where we began
Oh, I'll tell you all about it when I see you again
When I see you again
When I see you again (yeah, uh)
See you again (yeah, yeah, yeah)
When I see you again",https://www.youtube.com/embed/RgKAFK5djSk
"What would I do without your smart mouth?
Drawing me in and you kicking me out
You've got my head spinning, no kidding
I can't pin you down
What's going on in that beautiful mind
I'm on your magical mystery ride
And I'm so dizzy, don't know what hit me
But I'll be alright
My head's under water
But I'm breathing fine
You're crazy and I'm out of my mind
'Cause all of me
Loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me
I'll give my all to you
You're my end and my beginning
Even when I lose I'm winning
'Cause I give you all of me
And you give me all of you, oh oh
How many times do I have to tell you?
Even when you're crying you're beautiful too
The world is beating you down, I'm around through every mood
You're my downfall, you're my muse
My worst distraction, my rhythm and blues
I can't stop singing, it's ringing, in my head for you
My head's under water
But I'm breathing fine
You're crazy and I'm out of my mind
'Cause all of me
Loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me
I'll give my all to you
You're my end and my beginning
Even when I lose I'm winning
'Cause I give you all of me
And you give me all of you, oh oh
Give me all of you
Cards on the table, we're both showing hearts
Risking it all, though it's hard
'Cause all of me
Loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me
I'll give my all to you
You're my end and my beginning
Even when I lose I'm winning
'Cause I give you all of me
And you give me all of you
I give you all of me
And you give me all of you, oh oh",https://www.youtube.com/embed/450p7goxZqg
"Hello, it's me
I was wondering if after all these years you'd like to meet
To go over everything
They say that time's supposed to heal ya
But I ain't done much healing
Hello, can you hear me?
I'm in California dreaming about who we used to be
When we were younger and free
I've forgotten how it felt before the world fell at our feet
There's such a difference between us
And a million miles
Hello from the other side
I must've called a thousand times
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside
At least I can say that I've tried
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore
Hello, how are you?
It's so typical of me to talk about myself, I'm sorry
I hope that you're well
Did you ever make it out of that town where nothing ever happened?
It's no secret that the both of us are running out of time
So hello from the other side (Other side)
I must've called a thousand times (Thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside (Outside)
At least I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore
Ooh-ooh, anymore
Ooh-ooh-ooh, anymore
Ooh-ooh, anymore
Anymore
Hello from the other side (Other side)
I must've called a thousand times (Thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside (Outside)
At least I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore",https://www.youtube.com/embed/YQHsXMglC9A
"These scars long have yearned for your tender caress
To bind our fortunes, damn what the stars own
Rend my heart open, then your love profess
A winding, weaving fate to which we both atone
You flee my dream come the morning
Your scent - berries tart, lilac sweet
To dream of raven locks entwisted, stormy
Of violet eyes, glistening as you weep
The wolf I will follow into the storm
To find your heart, its passion displaced
By ire ever-growing hardening into stone
Amidst the cold to hold you in a heated embrace
You flee my dream come the morning
Your scent - berries tart, lilac sweet
To dream of raven locks entwisted, stormy
Of violet eyes, glistening as you weep
I know not if fate would have us live as one
Or if by love's blind chance we've been bound
The wish I whispered, when it all began
Did it forge a love you might never have found?
You flee my dream come the morning
Your scent - berries tart, lilac sweet
To dream of raven locks entwisted, stormy
Of violet eyes, glistening as you weep",https://www.youtube.com/embed/823yuWz0lto
"When a humble bard
Graced a ride along
With Geralt of Rivia
Along came this song
From when the White Wolf fought
A silver-tongued devil
His army of elves
At his hooves did they revel
They came after me
With masterful deceit
Broke down my lute
And they kicked in my teeth
While the devil's horns
Minced our tender meat
And so cried the Witcher
He can't be bleat
Toss a coin to your Witcher
O' Valley of Plenty
O' Valley of Plenty, oh
Toss a coin to your Witcher
O' Valley of Plenty
At the edge of the world
Fight the mighty horde
That bashes and breaks you
And brings you to mourn
He thrust every elf
Far back on the shelf
High up on the mountain
From whence it came
He wiped out your pest
Got kicked in his chest
He's a friend of humanity
So give him the rest
That's my epic tale
Our champion prevailed
Defeated the villain
Now pour him some ale
Toss a coin to your Witcher
O' Valley of Plenty
O' Valley of Plenty, oh
Toss a coin to your Witcher
A friend of humanity
Toss a coin to your Witcher
O' Valley of Plenty
O' Valley of Plenty, oh
Toss a coin to your Witcher
A friend of humanity
Toss a coin to your Witcher
O' Valley of Plenty
O' Valley of Plenty, a-oh
Toss a coin to your Witcher
A friend of humanity",https://www.youtube.com/embed/lu2ovVuwyLA
"Legends never die
When the world is calling you
Can you hear them screaming out your name?
Legends never die
They become a part of you
Every time you bleed for reaching greatness
Relentless you survive
They never lose hope when everything's cold
And the fighting's near
It's deep in their bones, they'll run into smoke
When the fire is fierce
Oh, pick yourself up, 'cause
Legends never die
When the world is calling you (the world is calling you)
Can you hear them screaming out your name?
Legends never die
They become a part of you (they become a part of you)
Every time you bleed for reaching greatness
Legends never die
They're written down in eternity
But you'll never see the price it costs
Scars collected all their lives
When everything's lost, they pick up their hearts
And avenge defeat
Before it all starts, they suffer through harm
Just to touch a dream
Oh, pick yourself up, 'cause
Legends never die
When the world is calling you (when the world is calling you)
Can you hear them screaming out your name?
Legends never die
They become a part of you (they become a part of you)
Every time you bleed for reaching greatness
Legends never die
When the world is calling out your name
Begging you to fight
Pick yourself up once more
Pick yourself up, 'cause
Legends never die
When the world is calling you (the world is calling you)
Can you hear them screaming out your name?
Legends never die
They become a part of you (they become a part of you)
Every time you bleed for reaching greatness
Legends never die",https://www.youtube.com/embed/4Q46xYqUwZQ
"Will you hold the line?
When every one of them has given up and given in, tell me
In this house of mine
Nothing ever comes without a consequence or cost, tell me
Will the stars align?
Will heaven step in will it save us from our sin, will it?
'Cause this house of mine stands strong
That's the price you pay
Leave behind your heart and cast away
Just another product of today
Rather be the hunter than the prey
And you're standing on the edge face up
'Cause you're a natural
A beating heart of stone
You gotta be so cold
To make it in this world
Yeah, you're a natural
Living your life cutthroat
You gotta be so cold
Yeah, you're a natural
Will somebody
Let me see the light within the dark trees shadowing
What's happening?
Looking through the glass find the wrong within the past knowing
Oh, we are the youth
Cut until it bleeds inside a world without the peace, face it
A bit of the truth, the truth
That's the price you pay
Leave behind your heart and cast away
Just another product of today
Rather be the hunter than the prey
And you're standing on the edge face up
'Cause you're a natural
A beating heart of stone
You gotta be so cold
To make it in this world
Yeah, you're a natural
Living your life cutthroat
You gotta be so cold
Yeah, you're a natural
Deep inside me
I'm fading to black I'm fading
Took an oath by the blood on my hand won't break it
I can taste it the end is upon us I swear
Gonna make it
I'm gonna make it
Natural
A beating heart of stone
You gotta be so cold
To make it in this world
Yeah, you're a natural
Living your life cutthroat
You gotta be so cold
Yeah, you're a natural
Natural
Yeah, you're a natural",https://www.youtube.com/embed/V5M2WZiAy6k
"Whoa, oh, oh
Whoa, oh, oh
Whoa, oh, oh
Whoa
I'm waking up to ash and dust
I wipe my brow and I sweat my rust
I'm breathing in the chemicals
I'm breaking in, shaping up, then checking out on the prison bus
This is it, the apocalypse
Whoa
I'm waking up, I feel it in my bones
Enough to make my systems blow
Welcome to the new age, to the new age
Welcome to the new age, to the new age
Whoa, oh, oh, oh, oh, whoa, oh, oh, oh, I'm radioactive, radioactive
Whoa, oh, oh, oh, oh, whoa, oh, oh, oh, I'm radioactive, radioactive
I raise my flags, don my clothes
It's a revolution, I suppose
We'll paint it red to fit right in
Whoa
I'm breaking in, shaping up, then checking out on the prison bus
This is it, the apocalypse
Whoa
I'm waking up, I feel it in my bones
Enough to make my systems blow
Welcome to the new age, to the new age
Welcome to the new age, to the new age
Whoa, oh, oh, oh, oh, whoa, oh, oh, oh, I'm radioactive, radioactive
Whoa, oh, oh, oh, oh, whoa, oh, oh, oh, I'm radioactive, radioactive
All systems go, the sun hasn't died
Deep in my bones, straight from inside
I'm waking up, I feel it in my bones
Enough to make my systems blow
Welcome to the new age, to the new age
Welcome to the new age, to the new age
Whoa, oh, oh, oh, oh, whoa, oh, oh, oh, I'm radioactive, radioactive
Whoa, oh, oh, oh, oh, whoa, oh, oh, oh, I'm radioactive, radioactive",https://www.youtube.com/embed/ktvTqknDobU
